Acronym,oracle_label,oracle_rationale
Mom6m,behavioral,"Jegadeesh-Titman 1993; classic underreaction / disposition / slow info diffusion -- behavioral by canonical reading."
Mom12m,behavioral,"Same JT family at 12m horizon; investor underreaction story."
IndMom,behavioral,"Grinblatt-Moskowitz 1999 industry momentum; investor inattention to industry-level info."
STreversal,behavioral,"Jegadeesh 1990 short-term reversal; overreaction at <=1 month -- behavioral."
LRreversal,behavioral,"DeBondt-Thaler 1985 long-run reversal; classical overreaction story."
BM,risk_premium,"Stattman 1980 value premium; Fama-French canonical interpretation as compensation for distress risk."
AnalystValue,mispricing,"Frankel-Lee 1998 V/P; intrinsic-value mispricing exploited via analyst forecasts -- mispricing."
Investment,risk_premium,"Titman-Wei-Xie 2004 capex; q-theory rationalizes as risk-based discount-rate mechanism."
AssetGrowth,risk_premium,"Cooper-Gulen-Schill 2008; modern q-theory interpretation as investment risk premium."
Accruals,mispricing,"Sloan 1996; canonical limits-to-arbitrage mispricing -- accrual persistence misjudged."
AbnormalAccruals,mispricing,"Xie 2001 residual accruals; Sloan extension -- mispricing of discretionary component."
BetaFP,risk_premium,"Frazzini-Pedersen 2014 BAB; leverage-constraint mechanism producing risk-priced low-beta premium."
IdioVol3F,mispricing,"Ang-Hodrick-Xing-Zhang 2006 idio vol puzzle; widely attributed to limits-to-arbitrage on hard-to-arb stocks."
PS,mispricing,"Piotroski 2000 F-score; fundamental signal not arbitraged among value stocks -- mispricing."
EarningsSurprise,behavioral,"Foster-Olsen-Shevlin 1984 PEAD; canonical underreaction to earnings news."
NetEquityFinance,mispricing,"Bradshaw-Richardson-Sloan 2006; issuance signals overvaluation; LTA prevents arbitrage."
ShareIss5Y,mispricing,"Daniel-Titman 2006 long-horizon issuance; mispricing-driven managerial timing."
Size,risk_premium,"Banz 1981; canonical Fama-French interpretation as distress-risk premium."
GP,risk_premium,"Novy-Marx 2013 gross profitability; expected-profitability discount-rate mechanism."
MaxRet,behavioral,"Bali-Cakici-Whitelaw 2011 lottery preferences; investor preference for skewness -- behavioral."
